Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"100nF 50V X7R 0603","C?",100,0.30,"",""
"4.7µF 10V X5R 0603","C?",10,0.10,"",""
"10µF 10V X5R 0603","C?",100,0.80,"",""
"3.3µH Inductor","L?",100,1.70,"",""
"Power Switching IC","U?",20,0.85,"",""
"16Mbit SPI Flash","U?",2,2.08,"",""
"3.3V LDO Regulator","U?",5,1.07,"",""
"MCU","U?",2,2.48,"",""
"USB ESD Protection","U?",10,1.52,"",""
"25MHz Crystal","Y?",10,2.94,"",""
"10kΩ Resistor 0603","R?",100,0.15,"",""
"330Ω Resistor 0603","R?",100,0.11,"",""
"100Ω Resistor 0603","R?",1,0.00,"",""
"LED / Indicator 0603","D?",1,0.00,"",""
"270Ω Resistor 0603","R?",100,0.30,"",""
"15pF 50V C0G 0603","C?",100,2.16,"",""
"PCB","Board for components",5,3.60,"https://cart.jlcpcb.com/shopcart/cart/","JLCPCB"
